producto,cod_barra,descripcion,precio,fecha_mod,precio_iva,precio_final,stock
2228,"7,7933E+12",ABROCHADORA BULIT ENGRAMPADORA ACERO USO INT.,1694.59,2/6/2021,2050.4539,3690.81702,True
4444,12342523563,Pilas AA,20.0,30/08/2021,24.2,50.0,True
